"lako1"	"lako2"	"lako3"	"lako4"	"lako6"
"AL049795.2"	1	1	4	0	0
"TXLNA"	31	59	54	91	7
"CCDC28B"	9	15	18	45	1
"AL049795.1"	0	0	0	0	0
"IQCC"	0	0	2	3	0
"TMEM234"	9	23	14	13	2
"EIF3I"	409	592	503	496	14
"FAM167B"	0	0	0	0	0
"LCK"	0	0	0	0	0
"HDAC1"	62	101	104	119	6
"MARCKSL1"	93	338	446	403	8
"TSSK3"	0	1	5	4	0
"FAM229A"	6	13	19	31	0
"BSDC1"	88	205	125	186	4
"ZBTB8B"	2	1	4	2	0
"ZBTB8A"	11	47	37	54	3
"ZBTB8OS"	59	143	82	169	7
"RBBP4"	123	235	282	310	15
"SYNC"	29	84	98	117	5
"AC114489.1"	0	0	0	3	0
"KIAA1522"	66	163	194	184	14
"YARS"	86	104	129	107	3
"S100PBP"	26	42	50	59	2
"FNDC5"	0	0	2	0	0
"HPCA"	3	1	2	0	0
"TMEM54"	116	130	104	185	10
"AL031602.2"	2	1	3	0	0
"RNF19B"	134	139	377	266	10
"AK2"	122	244	216	271	8
"AZIN2"	2	12	12	12	1
"TRIM62"	6	9	9	14	1
"AL662907.3"	0	0	1	0	0
"ZNF362"	7	37	47	65	5
"PHC2"	51	80	112	119	4
"ZSCAN20"	1	2	3	6	1
"CSMD2"	0	5	1	2	0
"AC099565.1"	0	0	0	0	0
"SMIM12"	43	79	70	83	6
"GJB5"	60	70	119	128	7
"GJB4"	33	23	64	55	2
"AL121988.1"	0	1	0	0	0
"GJB3"	127	129	283	138	4
"GJA4"	3	9	5	20	0
"DLGAP3"	0	1	4	3	0
"TMEM35B"	74	231	116	230	21
"ZMYM6"	23	58	62	44	5
"ZMYM1"	12	41	35	54	5
"AL590434.1"	0	4	6	2	0
"SFPQ"	593	823	1520	1409	40
"ZMYM4"	46	115	103	143	9
"KIAA0319L"	27	64	74	95	5
"NCDN"	4	9	6	7	0
"AC004865.2"	2	4	0	2	0
"TFAP2E"	1	2	0	2	0
"PSMB2"	182	337	311	462	23
"C1orf216"	12	15	13	11	0
"CLSPN"	5	6	9	7	1
"AGO4"	25	53	35	37	2
"AGO1"	15	55	55	61	6
"AL139286.3"	2	6	3	2	1
"AL139286.2"	0	0	2	4	0
"AGO3"	80	213	255	205	12
"TEKT2"	1	1	1	0	1
"ADPRHL2"	66	93	91	77	6
"COL8A2"	7	13	8	12	1
"TRAPPC3"	120	207	291	311	18
"MAP7D1"	235	428	564	327	16
"THRAP3"	223	400	349	470	19
"SH3D21"	9	15	31	22	0
"EVA1B"	59	96	104	69	3
"AL591845.1"	1	1	1	2	0
"STK40"	65	99	157	93	1
"LSM10"	63	113	65	150	5
"OSCP1"	8	17	15	21	0
"MRPS15"	134	245	197	293	15
"CSF3R"	0	0	0	0	0
"GRIK3"	0	0	0	0	0
"AL031430.1"	0	0	0	0	0
"AL353604.1"	0	0	0	0	0
"LINC01137"	8	28	12	21	2
"ZC3H12A"	380	880	904	1052	19
"MEAF6"	149	311	276	327	21
"SNIP1"	80	164	133	172	2
"DNALI1"	2	10	13	8	1
"GNL2"	127	150	188	104	4
"RSPO1"	0	0	0	0	0
"C1orf109"	31	57	83	79	0
"CDCA8"	2	4	3	3	0
"EPHA10"	0	0	0	0	0
"MANEAL"	2	2	0	5	0
"YRDC"	85	143	158	116	3
"C1orf122"	150	220	183	310	15
"MTF1"	25	67	48	60	3
"AL929472.2"	0	2	0	0	0
"INPP5B"	8	17	16	15	1
"SF3A3"	87	127	148	165	6
"FHL3"	22	39	75	50	3
"UTP11"	138	250	236	238	8
"POU3F1"	45	39	91	157	0
"MIR3659HG"	1	5	3	12	0
"RRAGC"	152	230	230	360	7
"AL139260.1"	6	8	8	9	0
"MYCBP"	33	76	55	111	5
"GJA9"	6	6	3	4	0
"RHBDL2"	18	33	35	53	1
"AKIRIN1"	205	407	496	335	13
"NDUFS5"	477	1602	1052	1972	50
"MACF1"	427	666	766	823	25
"AL356055.1"	0	3	3	4	0
"AL442071.2"	0	0	0	2	0
"BMP8A"	2	1	2	0	0
"PABPC4"	187	238	530	225	22
"PABPC4-AS1"	0	1	1	0	0
"HEYL"	1	2	0	1	0
"HPCAL4"	0	0	0	1	0
"PPIE"	55	141	139	174	7
"BMP8B"	0	1	0	2	0
"OXCT2"	0	0	1	1	0
"AL033527.3"	2	0	0	0	0
"LINC02811"	0	1	1	0	0
"TRIT1"	27	68	51	57	0
"MYCL"	16	29	31	47	2
"MFSD2A"	74	217	470	147	3
"CAP1"	137	247	336	342	11
"PPT1"	75	211	157	240	7
"RLF"	158	303	358	289	4
"TMCO2"	0	0	2	0	0
"AL050341.2"	17	35	23	20	3
"ZMPSTE24"	59	87	74	127	5
"COL9A2"	10	29	23	16	1
