"baseMean";"log2FoldChange";"lfcSE";"pvalue";"padj"
"ABCC9";19.2001059726089;-5.07745941373442;0.812946999572648;2.93532941260741e-11;2.31087961775555e-09
"ABCD3";564.281666959379;0.394705330842092;0.337535001714169;0.0821714861191014;0.240730578081061
"ABCD4";96.5925337066441;0.0764236136767188;0.247760223350441;0.700521688754712;0.841454988677731
"ABCE1";945.742663197816;0.46466935054961;0.30051606503074;0.0348550398436739;0.138408426122036
"ABCF1";397.224393391813;-0.34860612423775;0.2121116394103;0.0544835760949018;0.185632080390392
"ABCF2";68.4227066043193;0.258849250392565;0.242271689440185;0.188434976473134;0.398249937613854
"ABCF3";197.105108359412;-0.196248068703656;0.245745066731014;0.321979532377564;0.548910969906184
"ABCG1";45.3202945548686;0.187882841731294;0.400932687448044;0.38164553682078;0.606750239049231
"ABCG2";35.4095412526523;1.069731205269;0.479871063754137;0.000344082154362938;0.00471488600682877
"ABCG4";5.48162284562576;-0.370804645115416;0.445822004019668;0.114178837217505;0.293040872391228
"ABHD1";1.97195967964376;0.250841696842079;0.631729657337886;0.241859391471053;0.462863575696809
"ABHD10";172.217605174897;0.128992630051871;0.262801380409739;0.528084158889888;0.726006969676461
"ABHD11";48.9497092479608;-1.0775786664797;0.464428648172969;0.000253270060531588;0.00365032582925061
"ABHD11-AS1";0.635428245363394;-0.127219251272016;0.586385734154619;0.503208724644924;NA
"ABHD12";134.741896662587;-0.258965424270307;0.253248484380054;0.198774826061252;0.41094411581349
"ABHD12B";10.4452925312007;-0.038374577905117;0.366323389003663;0.855671324719216;0.93103555704829
"ABHD13";160.077877983491;0.232016805983393;0.263631722357731;0.258474032611579;0.480768037923466
"ABHD14A";3.56170747235847;0.652116273311484;0.61725282380994;0.023133290285263;0.105779346537271
"ABHD14B";138.470300154788;0.00751759218106565;0.242433490487054;0.969470875466886;0.986193021974909
"ABHD15";45.8895590380467;0.0588039363436241;0.241572438953648;0.764256841584416;0.880171590259723
"ABHD16A";112.029714032316;0.84450194030563;0.400039287469933;0.00122991513881285;0.0128295522917415
"ABHD16B";3.44222960302428;0.000208773010952694;0.508668154853297;0.999093089619235;0.999512297892767
"ABHD17A";282.6518539441;-0.653427719094138;0.505181702158603;0.0162703283669786;0.083426046219623
"ABHD17AP1";1.13340406448634;-0.103929054655132;0.497751155901899;0.589438283551878;NA
"ABHD17B";68.2987991348906;-0.0707737964919205;0.287940993501466;0.737298024565724;0.86433265645866
"ABHD17C";263.06655352796;-0.30611479916284;0.23364801141958;0.112414574490198;0.290163818162915
"ABHD18";38.0371344348215;0.23090153210984;0.255027785090808;0.253231722695287;0.474827261182377
"ABHD2";421.833659902026;-0.48532541607984;0.162373039634483;0.00103419042463354;0.0112154894003469
"ABHD3";121.574432024701;0.81097554198735;0.212083330853354;6.76898163335017e-06;0.000160703134367872
"ABHD4";138.571489183466;0.0528123391747772;0.328743775527455;0.805744134549933;0.903936923145687
"ABHD5";226.786258030549;0.34251270294104;0.236592003762307;0.0779988352180836;0.23314646077316
"ABHD6";70.2240607998337;1.14759148751636;0.392646646761416;2.62868550699138e-05;0.000536523255923641
"ABHD8";48.135433248186;-0.898208999068396;0.453934412764493;0.00132315068475669;0.0135897753406702
"ABI1";863.310775694071;0.407693618560691;0.123061732358105;0.000479592991248152;0.00614555982662767
