"lako1"	"lako2"	"lako3"	"lako4"
"FAM43B"	1	0	0	0
"CDA"	6	2	1	4
"PINK1"	649	279	268	947
"PINK1-AS"	9	7	7	16
"DDOST"	1243	710	680	1723
"KIF17"	0	0	1	1
"SH2D5"	21	1	10	3
"AL663074.1"	1	0	0	0
"HP1BP3"	1977	1060	1385	3254
"EIF4G3"	474	306	346	664
"AL031005.2"	11	0	0	1
"ECE1"	150	125	174	305
"AL031728.1"	1	1	0	1
"NBPF3"	61	41	39	67
"ALPL"	0	0	1	2
"RAP1GAP"	41	14	30	55
"USP48"	501	244	310	711
"LDLRAD2"	0	1	2	2
"HSPG2"	146	93	166	482
"LINC01635"	1	2	3	5
"LINC00339"	87	111	178	273
"CDC42"	5986	3233	4841	8400
"CDC42-AS1"	8	1	6	10
"CDC42-IT1"	47	13	37	69
"WNT4"	1306	547	558	1468
"AL445253.1"	29	32	28	69
"ZBTB40"	73	47	46	151
"EPHA8"	143	81	120	296
"C1QA"	7	3	3	23
"C1QC"	1	0	1	17
"C1QB"	6	1	2	19
"EPHB2"	10	5	9	36
"TEX46"	2	2	0	1
"KDM1A"	663	291	500	884
"LUZP1"	1521	1227	1138	1412
"LINC01355"	43	38	65	124
"AL109936.6"	2	0	1	7
"HNRNPR"	2231	1574	1471	3612
"ZNF436"	147	54	85	235
"ZNF436-AS1"	71	94	57	137
"AL109936.2"	3	1	1	10
"TCEA3"	411	282	379	1058
"ASAP3"	68	32	31	135
"E2F2"	31	10	8	40
"ID3"	4438	4989	2260	3296
"AL450043.1"	1	0	0	0
"MDS2"	3	4	1	9
"RPL11"	42441	43047	45837	83495
"ELOA-AS1"	114	91	86	173
"ELOA"	376	196	242	458
"PITHD1"	926	613	767	1422
"LYPLA2"	588	247	354	900
"GALE"	579	142	254	708
"HMGCL"	399	172	215	519
"FUCA1"	332	150	201	461
"CNR2"	1	1	1	1
"PNRC2"	1578	1190	1684	2345
"SRSF10"	1999	1153	1164	2751
"MYOM3"	0	2	0	2
"IL22RA1"	30	24	17	37
"IFNLR1"	98	157	153	112
"LINC02800"	0	3	1	0
"AL138902.1"	2	1	2	1
"GRHL3"	170	144	434	242
"STPG1"	115	77	93	240
"NIPAL3"	252	113	207	530
"RCAN3AS"	4	8	6	7
"RCAN3"	375	239	299	798
"NCMAP-DT"	30	35	15	82
"NCMAP"	18	10	6	24
"SRRM1"	3908	2691	2595	5508
"CLIC4"	106	87	75	133
"RUNX3"	1	2	0	3
"AL445471.2"	1	0	0	0
"AL031432.1"	0	1	2	2
"SYF2"	2011	1800	1810	3259
"AL031432.4"	13	17	22	34
"AL031432.5"	4	2	0	1
"RSRP1"	3062	1625	1750	3522
"AL031432.3"	13	7	9	9
"RHD"	1	0	3	2
"TMEM50A"	2521	1569	1771	4155
"RHCE"	27	14	8	14
"MACO1"	382	228	324	586
"LDLRAP1"	854	291	419	1063
"AL606491.1"	49	16	45	54
"MAN1C1"	99	31	47	81
"AL031280.1"	5	6	2	10
"SELENON"	48	63	96	175
"AL020996.1"	18	4	9	22
"MTFR1L"	301	192	213	502
"AUNIP"	28	16	5	36
"AL033528.2"	2	2	0	1
"PAQR7"	352	193	364	888
"STMN1"	1012	792	1225	2238
"PAFAH2"	103	41	53	128
"EXTL1"	0	0	0	1
"SLC30A2"	0	1	0	1
"TRIM63"	3	1	1	2
"PDIK1L"	100	46	52	129
"FAM110D"	2	3	0	0
"C1orf232"	3	3	7	2
"AL391650.1"	3045	1242	1823	4366
"ZNF593"	1276	1050	986	1620
"CNKSR1"	435	283	306	544
"CATSPER4"	3	0	3	0
"CEP85"	146	83	110	207
"SH3BGRL3"	9825	4926	8104	16992
"UBXN11"	57	55	45	82
"CD52"	0	0	1	8
"CRYBG2"	170	98	100	188
"ZNF683"	0	0	0	0
"LIN28A"	0	0	0	3
"DHDDS"	194	87	89	302
"HMGN2"	2400	2372	3003	7129
"RPS6KA1"	272	131	180	525
"AL512408.1"	4	4	0	5
"ARID1A"	508	353	562	1023
"PIGV"	284	95	100	224
"ZDHHC18"	167	120	94	191
"SFN"	39010	26720	38033	49965
"GPN2"	224	119	138	254
"GPATCH3"	77	37	58	128
"NUDC"	1779	1047	966	2442
"KDF1"	169	117	122	296
"TRNP1"	115	71	76	161
