"HC7"	"HC6"
"AC098484.2"	1	0
"YBX1"	2151	1995
"CLDN19"	0	0
"P3H1"	6	12
"C1orf50"	6	17
"TMEM269"	0	1
"SVBP"	58	56
"ERMAP"	11	13
"AL512353.1"	0	0
"ZNF691"	12	5
"SLC2A1"	155	165
"SLC2A1-AS1"	8	10
"FAM183A"	2	8
"EBNA1BP2"	198	165
"CFAP57"	1	0
"TMEM125"	1	0
"C1orf210"	4	9
"TIE1"	0	0
"AL139289.2"	10	9
"CDC20"	190	188
"ELOVL1"	43	26
"MED8"	42	33
"SZT2"	22	10
"HYI"	84	86
"PTPRF"	159	106
"KDM4A"	23	28
"KDM4A-AS1"	3	5
"ST3GAL3"	5	6
"AL451062.1"	4	2
"ARTN"	0	1
"AL357079.1"	0	0
"IPO13"	5	3
"DPH2"	15	20
"ATP6V0B"	159	148
"B4GALT2"	72	46
"CCDC24"	2	4
"SLC6A9"	21	22
"AL139220.2"	1	1
"DMAP1"	63	62
"ERI3"	73	92
"RNF220"	27	26
"TMEM53"	6	0
"ARMH1"	0	2
"KIF2C"	22	32
"RPS8"	15730	9679
"BEST4"	0	1
"PLK3"	94	40
"TCTEX1D4"	1	0
"BTBD19"	4	2
"PTCH2"	3	0
"EIF2B3"	49	52
"HECTD3"	9	10
"UROD"	105	93
"ZSWIM5"	4	2
"LINC01144"	0	0
"HPDL"	12	10
"MUTYH"	18	11
"TOE1"	10	19
"TESK2"	25	18
"CCDC163"	7	6
"MMACHC"	3	2
"PRDX1"	1451	1069
"AKR1A1"	153	194
"NASP"	387	310
"CCDC17"	5	5
"GPBP1L1"	72	84
"TMEM69"	27	27
"IPP"	27	25
"MAST2"	7	11
"PIK3R3"	9	9
"TSPAN1"	1	1
"POMGNT1"	45	34
"LURAP1"	5	8
"RAD54L"	2	9
"LRRC41"	50	49
"UQCRH"	678	660
"NSUN4"	11	14
"FAAH"	23	16
"MKNK1"	21	21
"MOB3C"	3	8
"ATPAF1"	43	54
"EFCAB14"	57	65
"CYP4B1"	7	6
"CYP4X1"	4	6
"CYP4Z1"	0	0
"LINC00853"	1	0
"PDZK1IP1"	33	37
"TAL1"	0	0
"AL135960.1"	0	0
"STIL"	14	16
"CMPK1"	242	243
"LINC01389"	0	0
"FOXE3"	1	0
"FOXD2-AS1"	0	0
"FOXD2"	1	0
"LINC01738"	0	0
"TRABD2B"	10	0
"SLC5A9"	0	0
"SPATA6"	33	41
"AGBL4"	1	0
"BEND5"	3	3
"ELAVL4"	0	0
"FAF1"	74	103
"CDKN2C"	68	60
"LINC01562"	1	0
"RNF11"	75	71
"AL162430.2"	0	0
"TTC39A"	6	3
"TTC39A-AS1"	0	0
"EPS15"	32	34
"AC104170.1"	1	0
"OSBPL9"	24	34
"NRDC"	127	112
